common_name,month,pounds_caught,year,sci_name,commonname,classcode
copper rockfish,april,33,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,april,476,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,april,2045,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,april,61,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,april,27,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,april,300734,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,april,498,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,april,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,april,5775,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,april,173,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,april,1,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,april,1,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,april,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,april,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,may,4,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,may,44,2e3,medialuna californiensis,halfmoon,mcal
lingcod,may,488,2e3,ophiodon elongatus,lingcod,oelo
opaleye,may,0,2e3,girella nigricans,opaleye,gnig
bat ray,may,0,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,may,0,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,may,270,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,may,58,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,may,76,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,may,709,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,may,655,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,may,2304,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,may,42,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,may,28,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,may,523580,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,may,730,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,may,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,may,3357,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,may,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,may,0,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,may,0,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,may,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,may,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,june,0,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,june,187,2e3,medialuna californiensis,halfmoon,mcal
lingcod,june,237,2e3,ophiodon elongatus,lingcod,oelo
opaleye,june,0,2e3,girella nigricans,opaleye,gnig
bat ray,june,0,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,june,0,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,june,5,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,june,65,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,june,9,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,june,1046,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,june,1212,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,june,3275,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,june,0,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,june,85,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,june,685822,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,june,94,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,june,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,june,7696,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,june,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,june,0,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,june,0,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,june,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,june,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,july,0,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,july,24,2e3,medialuna californiensis,halfmoon,mcal
lingcod,july,203,2e3,ophiodon elongatus,lingcod,oelo
opaleye,july,5,2e3,girella nigricans,opaleye,gnig
bat ray,july,45,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,july,0,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,july,0,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,july,49,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,july,0,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,july,709,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,july,771,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,july,1998,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,july,3,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,july,58,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,july,283577,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,july,282,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,july,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,july,7458,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,july,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,july,0,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,july,0,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,july,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,july,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,august,1,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,august,55,2e3,medialuna californiensis,halfmoon,mcal
lingcod,august,17,2e3,ophiodon elongatus,lingcod,oelo
opaleye,august,0,2e3,girella nigricans,opaleye,gnig
bat ray,august,25,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,august,10,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,august,0,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,august,30,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,august,658,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,august,402,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,august,227,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,august,5146,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,august,0,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,august,0,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,august,1408037,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,august,778,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,august,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,august,5503,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,august,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,august,0,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,august,0,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,august,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,august,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,september,11,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,september,314,2e3,medialuna californiensis,halfmoon,mcal
lingcod,september,18,2e3,ophiodon elongatus,lingcod,oelo
opaleye,september,0,2e3,girella nigricans,opaleye,gnig
bat ray,september,18,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,september,17,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,september,0,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,september,27,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,september,0,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,september,239,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,september,667,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,september,4515,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,september,4,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,september,319,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,september,345353,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,september,287,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,september,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,september,9308,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,september,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,september,0,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,september,0,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,september,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,september,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,october,4,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,october,11,2e3,medialuna californiensis,halfmoon,mcal
lingcod,october,159,2e3,ophiodon elongatus,lingcod,oelo
opaleye,october,0,2e3,girella nigricans,opaleye,gnig
bat ray,october,0,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,october,3,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,october,15,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,october,71,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,october,0,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,october,172,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,october,592,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,october,2189,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,october,2,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,october,172,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,october,579506,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,october,1492,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,october,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,october,4274,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,october,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,october,0,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,october,0,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,october,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,october,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,november,0,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,november,9,2e3,medialuna californiensis,halfmoon,mcal
lingcod,november,12,2e3,ophiodon elongatus,lingcod,oelo
opaleye,november,1,2e3,girella nigricans,opaleye,gnig
bat ray,november,0,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,november,0,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,november,0,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,november,89,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,november,0,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,november,166,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,november,259,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,november,1653,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,november,0,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,november,0,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,november,1065972,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,november,2201,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,november,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,november,2036,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,november,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,november,0,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,november,0,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,november,7,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,november,10,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,december,2,2e3,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,december,39,2e3,medialuna californiensis,halfmoon,mcal
lingcod,december,0,2e3,ophiodon elongatus,lingcod,oelo
opaleye,december,2,2e3,girella nigricans,opaleye,gnig
bat ray,december,0,2e3,myliobatis californica,batray,bray
black-and-yellow rockfish,december,0,2e3,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,december,11,2e3,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,december,172,2e3,sebastes paucispinis,bocaccio,spau
brown rockfish,december,0,2e3,sebastes auriculatus,brown rockfish,saur
copper rockfish,december,980,2e3,sebastes caurinus,copper rockfish,scau
gopher rockfish,december,1342,2e3,sebastes carnatus,gopher rockfish,scar
grass rockfish,december,2494,2e3,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,december,18,2e3,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,december,14,2e3,sebastes miniatus,vermilion rockfish,smin
pacific sardine,december,248851,2e3,sardinops sagax,Pacific sardine,ssag
california scorpionfish,december,6195,2e3,scorpaena guttata,California scorpionfish,sgut
horn shark,december,0,2e3,heterodontus francisci,horn shark,hfra
california sheephead,december,3144,2e3,semicossyphus pulcher,California sheephead,spul
black surfperch,december,0,2e3,embiotoca jacksoni,black surfperch,ejac
rainbow surfperch,december,0,2e3,hypsurus caryi,rainbow seaperch,hcar
rubberlip surfperch,december,0,2e3,rhacochilus toxotes,rubberlip seaperch,rtox
california scorpionfish,december,0,2e3,scorpaena guttata,California scorpionfish,sgut
california sheephead,december,0,2e3,semicossyphus pulcher,California sheephead,spul
kelp greenling,january,0,2001,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,january,5,2001,medialuna californiensis,halfmoon,mcal
lingcod,january,0,2001,ophiodon elongatus,lingcod,oelo
opaleye,january,0,2001,girella nigricans,opaleye,gnig
bat ray,january,0,2001,myliobatis californica,batray,bray
black-and-yellow rockfish,january,0,2001,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,january,0,2001,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,january,0,2001,sebastes paucispinis,bocaccio,spau
brown rockfish,january,0,2001,sebastes auriculatus,brown rockfish,saur
copper rockfish,january,0,2001,sebastes caurinus,copper rockfish,scau
gopher rockfish,january,575,2001,sebastes carnatus,gopher rockfish,scar
grass rockfish,january,595,2001,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,january,0,2001,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,january,0,2001,sebastes miniatus,vermilion rockfish,smin
pacific sardine,january,1269927,2001,sardinops sagax,Pacific sardine,ssag
california scorpionfish,january,1382,2001,scorpaena guttata,California scorpionfish,sgut
horn shark,january,0,2001,heterodontus francisci,horn shark,hfra
california sheephead,january,1882,2001,semicossyphus pulcher,California sheephead,spul
california sheephead,january,0,2001,semicossyphus pulcher,California sheephead,spul
kelp greenling,february,0,2001,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,february,11,2001,medialuna californiensis,halfmoon,mcal
lingcod,february,50,2001,ophiodon elongatus,lingcod,oelo
opaleye,february,0,2001,girella nigricans,opaleye,gnig
bat ray,february,0,2001,myliobatis californica,batray,bray
black-and-yellow rockfish,february,0,2001,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,february,0,2001,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,february,0,2001,sebastes paucispinis,bocaccio,spau
brown rockfish,february,53,2001,sebastes auriculatus,brown rockfish,saur
copper rockfish,february,714,2001,sebastes caurinus,copper rockfish,scau
gopher rockfish,february,583,2001,sebastes carnatus,gopher rockfish,scar
grass rockfish,february,1027,2001,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,february,8,2001,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,february,0,2001,sebastes miniatus,vermilion rockfish,smin
pacific sardine,february,1821506,2001,sardinops sagax,Pacific sardine,ssag
california scorpionfish,february,2394,2001,scorpaena guttata,California scorpionfish,sgut
horn shark,february,0,2001,heterodontus francisci,horn shark,hfra
california sheephead,february,2480,2001,semicossyphus pulcher,California sheephead,spul
california sheephead,february,0,2001,semicossyphus pulcher,California sheephead,spul
kelp greenling,march,0,2001,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,march,61,2001,medialuna californiensis,halfmoon,mcal
lingcod,march,8,2001,ophiodon elongatus,lingcod,oelo
opaleye,march,0,2001,girella nigricans,opaleye,gnig
bat ray,march,0,2001,myliobatis californica,batray,bray
black-and-yellow rockfish,march,0,2001,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,march,16,2001,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,march,33,2001,sebastes paucispinis,bocaccio,spau
brown rockfish,march,0,2001,sebastes auriculatus,brown rockfish,saur
copper rockfish,march,534,2001,sebastes caurinus,copper rockfish,scau
gopher rockfish,march,582,2001,sebastes carnatus,gopher rockfish,scar
grass rockfish,march,1476,2001,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,march,0,2001,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,march,70,2001,sebastes miniatus,vermilion rockfish,smin
pacific sardine,march,285899,2001,sardinops sagax,Pacific sardine,ssag
california scorpionfish,march,2826,2001,scorpaena guttata,California scorpionfish,sgut
horn shark,march,0,2001,heterodontus francisci,horn shark,hfra
california sheephead,march,5162,2001,semicossyphus pulcher,California sheephead,spul
california sheephead,march,0,2001,semicossyphus pulcher,California sheephead,spul
kelp greenling,april,0,2001,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,april,0,2001,medialuna californiensis,halfmoon,mcal
lingcod,april,0,2001,ophiodon elongatus,lingcod,oelo
opaleye,april,0,2001,girella nigricans,opaleye,gnig
bat ray,april,0,2001,myliobatis californica,batray,bray
black-and-yellow rockfish,april,0,2001,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,april,13,2001,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,april,81,2001,sebastes paucispinis,bocaccio,spau
brown rockfish,april,30,2001,sebastes auriculatus,brown rockfish,saur
copper rockfish,april,1035,2001,sebastes caurinus,copper rockfish,scau
gopher rockfish,april,633,2001,sebastes carnatus,gopher rockfish,scar
grass rockfish,april,2557,2001,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,april,3,2001,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,april,19,2001,sebastes miniatus,vermilion rockfish,smin
pacific sardine,april,675320,2001,sardinops sagax,Pacific sardine,ssag
california scorpionfish,april,1395,2001,scorpaena guttata,California scorpionfish,sgut
horn shark,april,7,2001,heterodontus francisci,horn shark,hfra
california sheephead,april,2432,2001,semicossyphus pulcher,California sheephead,spul
california sheephead,april,0,2001,semicossyphus pulcher,California sheephead,spul
kelp greenling,may,0,2001,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,may,4,2001,medialuna californiensis,halfmoon,mcal
lingcod,may,511,2001,ophiodon elongatus,lingcod,oelo
opaleye,may,0,2001,girella nigricans,opaleye,gnig
bat ray,may,0,2001,myliobatis californica,batray,bray
black-and-yellow rockfish,may,2,2001,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,may,8,2001,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,may,665,2001,sebastes paucispinis,bocaccio,spau
brown rockfish,may,2,2001,sebastes auriculatus,brown rockfish,saur
copper rockfish,may,1184,2001,sebastes caurinus,copper rockfish,scau
gopher rockfish,may,96,2001,sebastes carnatus,gopher rockfish,scar
grass rockfish,may,3461,2001,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,may,120,2001,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,may,111,2001,sebastes miniatus,vermilion rockfish,smin
pacific sardine,may,0,2001,sardinops sagax,Pacific sardine,ssag
california scorpionfish,may,337,2001,scorpaena guttata,California scorpionfish,sgut
horn shark,may,0,2001,heterodontus francisci,horn shark,hfra
california sheephead,may,10470,2001,semicossyphus pulcher,California sheephead,spul
california sheephead,may,129,2001,semicossyphus pulcher,California sheephead,spul
kelp greenling,june,0,2001,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,june,5,2001,medialuna californiensis,halfmoon,mcal
lingcod,june,248,2001,ophiodon elongatus,lingcod,oelo
opaleye,june,0,2001,girella nigricans,opaleye,gnig
bat ray,june,0,2001,myliobatis californica,batray,bray
black-and-yellow rockfish,june,15,2001,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,june,5,2001,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,june,174,2001,sebastes paucispinis,bocaccio,spau
brown rockfish,june,0,2001,sebastes auriculatus,brown rockfish,saur
copper rockfish,june,116,2001,sebastes caurinus,copper rockfish,scau
gopher rockfish,june,211,2001,sebastes carnatus,gopher rockfish,scar
grass rockfish,june,2303,2001,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,june,16,2001,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,june,107,2001,sebastes miniatus,vermilion rockfish,smin
pacific sardine,june,467074,2001,sardinops sagax,Pacific sardine,ssag
california scorpionfish,june,64,2001,scorpaena guttata,California scorpionfish,sgut
horn shark,june,0,2001,heterodontus francisci,horn shark,hfra
california sheephead,june,8447,2001,semicossyphus pulcher,California sheephead,spul
california sheephead,june,0,2001,semicossyphus pulcher,California sheephead,spul
kelp greenling,july,10,2001,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,july,81,2001,medialuna californiensis,halfmoon,mcal
lingcod,july,552,2001,ophiodon elongatus,lingcod,oelo
opaleye,july,5,2001,girella nigricans,opaleye,gnig
bat ray,july,0,2001,myliobatis californica,batray,bray
black-and-yellow rockfish,july,9,2001,sebastes chrysomelas,black-and-yellow rockfish,schr
